start year,Wright,Phelps,Algonquin,Giant,Marcy,Cascade
1930,0.0,0.018,0.089,0.125,0.375,0.054
1935,0.0,0.0,0.159,0.045,0.523,0.0
1940,0.018,0.0,0.145,0.073,0.473,0.018
1945,0.0,0.0,0.085,0.213,0.34,0.064
1950,0.021,0.0,0.106,0.074,0.404,0.064
1955,0.026,0.007,0.119,0.079,0.404,0.152
1960,0.045,0.024,0.098,0.098,0.318,0.135
1965,0.051,0.028,0.083,0.053,0.318,0.182
1970,0.036,0.045,0.067,0.082,0.289,0.148
1975,0.037,0.062,0.095,0.06,0.257,0.117
1980,0.056,0.045,0.104,0.118,0.217,0.121
1985,0.046,0.072,0.12,0.098,0.179,0.163
1990,0.061,0.067,0.118,0.103,0.171,0.17
1995,0.039,0.057,0.084,0.098,0.165,0.225
2000,0.048,0.048,0.101,0.109,0.149,0.245
2005,0.049,0.038,0.07,0.094,0.139,0.287
2010,0.042,0.047,0.061,0.078,0.119,0.299
2015,0.045,0.036,0.056,0.119,0.092,0.254
