park_name,lat,lon,is_poppy,x,y
Anderson Marsh State Historic Park,38.935226,-122.63656999999999,True,-0.04533268541697789,0.7388360418319841
Folsom Lake State Recreation Area,38.78617485,-121.1055811,True,-0.01861188830049173,0.7354951879647266
Palomar Mountain State Park,33.3375343,-116.91030320000002,True,0.05460952409066132,0.6177653718986891
Andrew Molera State Park,36.27964585,-121.83095120000002,True,-0.0312719848410126,0.6803191510558928
Folsom Powerhouse State Historic Park,38.681383200000006,-121.17380049999998,True,-0.01980254144422657,0.7331505529113207
Patrick's Point State Park,41.1422253,-124.1412527,True,-0.07159435272977603,0.7891556031237555
Angel Island State Park,37.8629304,-122.43036359999999,True,-0.04173370479829347,0.714954935961113
Fort Ross State Historic Park,38.52529865,-123.2643695,True,-0.056289853734352184,0.7296646326589489
Pescadero State Beach,37.263833399999996,-122.4296982,True,-0.0417220913774509,0.7017638289527116
Annadel State Park,38.426131,-122.62434340000001,True,-0.045119290990653954,0.7274537953594589
Fremont Peak State Park,36.76062735,-121.5009634,True,-0.025512611239599855,0.6907649743523221
Pfeiffer Big Sur State Park,36.25330545,-121.78329529999999,True,-0.03044023247801103,0.6797489647316988
Año Nuevo State Park,37.16480715,-122.3282351,True,-0.03995122621317058,0.6995935870897788
Gaviota State Park,34.49073785,-120.2369017,True,-0.0034505726262430633,0.6420194514113369
Picacho State Recreation Area,33.0189424,-114.6154637,True,0.09466202917048189,0.6111217931139395
Pismo State Beach,35.10635595,-120.62990049999999,True,-0.010309695642629521,0.6551041318654179
Anza-Borrego Desert State Park,33.09553545,-116.3018977,True,0.065228203252904,0.612716781229396
Grizzly Creek Redwoods State Park,40.4840273,-123.90670990000001,True,-0.06750080863292973,0.7739769675097048
Point Lobos State Natural Reserve,36.518144799999995,-121.94424450000001,True,-0.03324932594646222,0.685490689285802
Armstrong Redwoods State Natural Reserve,38.5399518,-123.0088126,True,-0.05182954440316225,0.7299915672083144
Grover Hot Springs State Park,38.70219315,-119.83797759999999,True,0.003511966384312333,0.7336158864633294
Pomponio State Beach,37.30601495,-122.3964987,True,-0.041142650792434884,0.7026891388092111
Auburn State Recreation Area,38.9681031,-120.9720947,True,-0.01628211111385765,0.7395738982505125
Half Moon Bay State Beach,37.47903115,-122.44978909999999,True,-0.042072743732139574,0.7064899293920204
Portola Redwoods State Park,37.26388365,-122.1795979,True,-0.03735701768222533,0.7017649309465648
Hendy Woods State Park,39.07071605,-123.46945459999999,True,-0.059869263976133846,0.7418790326882657
Prairie Creek Redwoods State Park,41.4101749,-124.0360232,True,-0.06975775148454878,0.7953783253030319
Benbow Lake State Recreation Area,40.0632545,-123.80484369999999,True,-0.06572290804643438,0.7643514890194628
Henry Cowell Redwoods State Park,37.02930045,-122.0522902,True,-0.0351350791540841,0.6966284479970867
Red Rock Canyon State Park,35.38152375,-117.9792675,True,0.03595257746938507,0.6609845996866988
Henry W. Coe State Park,37.17196785,-121.43738540000001,True,-0.02440296580776703,0.6997504242529852
Refugio State Beach,34.4624286,-120.04799240000001,True,-0.00015348335360548348,0.641420088191913
Humboldt Redwoods State Park,40.34012325,-124.002301,True,-0.06916918806353275,0.7706783130597342
Richardson Grove State Park,40.02160455,-123.80393219999999,True,-0.06570699937030243,0.7634019605851746
Bidwell-Sacramento River State Park,39.70611995,-121.94015220000001,True,-0.03317790183748291,0.7562283285937321
Indian Grinding Rock State Historic Park,38.4248945,-120.64352040000001,True,-0.010547407741422302,0.7274262480865817
Russian Gulch State Park,39.330127000000005,-123.80768400000001,True,-0.06577248063317906,0.7477215303611694
Big Basin Redwoods State Park,37.15544485,-122.253505,True,-0.03864693991782603,0.6993885518159964
Jack London State Historic Park,38.34566135,-122.5558851,True,-0.04392446825533562,0.7256620403438697
Saddleback Butte State Park,34.67534675,-117.80516180000001,True,0.03899129518087454,0.6459329928283237
Border Field State Park,32.5563803,-117.0967318,True,0.05135573120077808,0.6015185663973517
Jedediah Smith Redwoods State Park,41.78269865,-124.09875249999999,True,-0.07085258430701984,0.8040724321759412
Salt Point State Park,38.57721625,-123.31249059999999,True,-0.05712972536903343,0.7308232952081316
Bothe-Napa Valley State Park,38.54052415,-122.5483574,True,-0.04379308510523329,0.7300043385777072
Julia Pfeiffer Burns State Park,36.16998345,-121.66538840000001,True,-0.028382368862191677,0.6779465714090288
Salton Sea State Recreation Area,33.4178087,-115.8316621,True,0.07343536273299496,0.619443154210828
Butano State Park,37.20679475,-122.33169529999999,True,-0.04001161809594795,0.7005134321377957
Samuel P. Taylor State Park,38.02468045,-122.73130079999999,True,-0.04698604978002602,0.7185347256779088
Calaveras Big Trees State Park,38.2638071,-120.2785402,True,-0.004177301546834557,0.723841496641606
La Purisima Mission State Historic Park,34.6837598,-120.4235085,True,-0.006707475692853492,0.6461115493224898
San Buenaventura State Beach,34.266143,-119.2774669,True,0.01329472359197042,0.6372699047619559
California Citrus State Historic Park,33.896101,-117.4192605,True,0.045726543453601186,0.6294721242898281
Lake Oroville State Recreation Area,39.5634973,-121.4563564,True,-0.02473407222016276,0.7529960823881784
San Gregorio State Beach,37.31889395,-122.3963365,True,-0.0411398198683883,0.7029717606618607
Carpinteria State Beach,34.3914515,-119.5205894,True,0.009051435481290289,0.6399182544032685
Lake Perris State Recreation Area,33.8742403,-117.1683672,True,0.05010545760979485,0.6290125228242494
Castle Crags State Park,41.170984999999995,-122.3516781,True,-0.040360383749715616,0.7898222818609181
