dist_to_summit_miles,Mt. Elbert - Northeast Ridge - I - Sawatch,Wilson Peak - Southwest Ridge - III - San Juans,Culebra Peak - Northwest Ridge - II - Sangres,Mt. Oxford - Via Mt. Belford - II - Sawatch,Castle Peak - Northeast Ridge - II - Elk,Mt. Massive - East Slopes - II - Sawatch,La Plata Peak - Northwest Ridge - II - Sawatch,Mt. Lindsey - Northwest Gully - III - Sangres,Mt. of the Holy Cross - North Ridge - II - Sawatch,Mt. Princeton - East Slopes - II - Sawatch,Windom Peak - West Ridge - II - San Juans,Huron Peak - Northwest Slopes - II - Sawatch,Mt. Eolus - Northeast Ridge - III - San Juans,Mt. Lincoln - West Ridge - II - 10/Mosquito,Humboldt Peak - West Ridge - II - Sangres,Mt. Democrat - East Slope - II - 10/Mosquito,El Diente Peak - North Slopes - III - San Juans,Mt. Harvard - South Slopes - II - Sawatch,Mt. Bross - West Slopes - II - 10/Mosquito,Sunlight Peak - South Face - IV - San Juans,Quandary Peak - East Ridge - I - 10/Mosquito,North Maroon Peak - Northeast Ridge - IV - Elk,Missouri Mountain - Northwest Ridge - II - Sawatch,Mt. Belford - Northwest Ridge - II - Sawatch,Mt. Shavano - East Slopes - II - Sawatch,Mt. Blue Sky - West Ridge from Summit Lake - II - Front,Capitol Peak - Northeast Ridge - IV - Elk,Little Bear Peak - West Ridge and Hourglass - IV - Sangres,Ellingwood Point - South Face - II - Sangres,Mt. Sherman - Southwest Ridge - II - 10/Mosquito,Kit Carson Peak - Via Challenger Point - III - Sangres,Mt. Bierstadt - West Slopes - II - Front,Tabeguache Peak - Via Mt. Shavano - II - Sawatch,Crestone Peak - South Face - III - Sangres,Pyramid Peak - Northeast Ridge - IV - Elk,Handies Peak - Southwest Slopes - I - San Juans,Crestone Needle - South Face - IV - Sangres,Mt. Columbia - West Slopes - II - Sawatch,Conundrum Peak - South Ridge - II - Elk,Torreys Peak - South Slopes - I - Front,Mt. Yale - Southwest Slopes - II - Sawatch,Mt. Sneffels - South Slopes - III - San Juans,North Eolus - South Ridge - III - San Juans,Wetterhorn Peak - Southeast Ridge - III - San Juans,Grays Peak - North Slopes - I - Front,Maroon Peak - South Ridge - III - Elk,Mt. Wilson - North Slopes - IV - San Juans,Challenger Point - North Slope - II - Sangres,Snowmass Mountain - East Slopes - III - Elk,Pikes Peak - Northwest Slopes - II - Front,Longs Peak - Keyhole Route - III - Front,Mt. Cameron - West Ridge - II - 10/Mosquito,Mt. Antero - West Slopes - II - Sawatch,San Luis Peak - Northeast Ridge - I - San Juans,Uncompahgre Peak - South Ridge - II - San Juans
-4.6,,,,,,10889.46984474102,10115.047776113848,,10703.43029348776,9970.127012527348,10285.390152305428,,10441.686755866362,,9947.344810109851,,10204.172882467568,10416.217935480026,,10357.45786381304,,,9872.568933545217,,,,9981.628481203265,9434.65275132957,10277.683117685474,,10061.200270155305,,10160.068432717511,,,,10384.151476360475,10205.335943013684,,,,,10295.07468065783,,,10086.632795706235,10363.914326052038,9882.672569693168,10086.728262299554,11040.839791391398,10614.142846143235,,10824.241819192237,10954.868636966015,
-4.59,,,,9681.589481454297,,10893.617437133385,10116.65907474287,,10712.784872539314,9980.429936585404,10293.015339236697,,10438.418951586995,,9952.825112660694,,10208.168281824375,10423.035826814836,,10362.614530332572,,,9887.25837350103,,,,9985.237668969521,9451.182329377163,10276.129906772234,,10065.970570935044,,10164.559626949871,,,,10389.85764506044,10208.407981713519,,,,,10302.6998675891,,,10093.879570766083,10370.815826664493,9879.414870792169,10088.598552040334,11051.838525371655,10620.649919205487,,10829.295410901515,10960.590435677146,
-4.58,,,,9678.727162496887,,10897.76502952575,10117.78208927606,,10722.795292253699,9992.986331657892,10300.640526167968,,10435.151147307628,,9958.305415211536,,10212.759074057647,10430.589803004077,,10366.60459990796,,,9901.996453831054,,,,9987.574022696406,9466.414100246157,10283.227485261683,,10060.03182406619,,10169.100373992904,,,,10397.561978317397,10211.435588968965,,,,,10310.31996525248,,,10099.960186136494,10377.717327276949,9875.440524189611,10090.468841781116,11063.86997744662,10627.51919516335,,10834.349002610794,10965.835221884117,
-4.57,,,,9680.991796196906,,10891.006034232369,10116.604594784147,,10733.01240924477,10005.542726730378,10308.263796169484,,10437.402745406605,,9963.78571776238,,10217.674198923814,10438.14377919332,,10370.594669483347,,,9917.453812976546,,,,9988.684711986249,9480.937037866592,10291.000686934623,,10062.043736403746,,10175.416259924184,,,,10405.408267091645,10214.452082782078,,,,,10317.933405869586,,,10104.482128233849,10385.266344568348,9869.521573930815,10092.027882000004,11075.898183660782,10634.484607665065,,10838.1167164777,10970.371728171485,
-4.56,,,,9683.256429896925,,10883.497177739557,10114.535669768049,,10741.875561479881,10015.758459878445,10315.877236786591,,10442.565886712806,,9969.266020313222,,10226.889323062209,10445.697755382564,,10374.584739058735,,,9932.911172122038,,,,9989.795401276093,9495.459975487029,10299.183267558112,,10068.17323869649,,10183.015441938707,,,,10415.220532996698,10216.263205762652,,,,,10325.546846486694,,,10111.943250043705,10392.84492903148,9865.12648161522,10092.027882000004,11085.349113115406,10641.376723101303,,10840.45631993541,10974.908234458851,
-4.55,10068.984041997835,,,9687.383462475467,,10875.988321246748,10111.559965960134,,10750.172825594464,10024.682946286566,10323.490677403699,,10447.729028019005,,9976.677387911213,,10236.104447200601,10453.670822492646,,10378.880250580007,,,9947.254890395818,,,,9991.456623935843,9506.217194450343,10308.116421724055,,10073.141563067391,,10184.945081469354,,,,10424.712286552762,10217.790760509752,,,,,10333.160287103801,,,10111.12634064695,10399.465766266298,9862.952932109976,10092.027882000004,11095.926533267673,10647.179643749227,,10842.79592339312,10975.732101681842,
-4.54,10070.612208609433,,,9692.46278345896,,10870.338387881806,10110.629082369158,,10755.905833623243,10033.607432694687,10331.104118020805,,10452.892169325205,,9996.649629688982,,10243.624172211781,10462.641685731816,,10383.661523452924,,,9961.591766095702,,,,9993.262543148112,9515.753354485327,10317.049575889998,,10077.92141545488,,10186.607469460934,,,,10431.431310719214,10218.88291814604,,,,,10340.16599639557,,,10106.850177369204,10401.887181728096,9860.810572937158,10092.027882000004,11107.420194968528,10652.98256439715,,10844.669148594305,10975.35445769659,
-4.53,10073.769306222906,,,9697.54210444245,,10865.895705414456,10110.1474641409,,10759.404989810626,10042.483246608159,10338.564480906147,,10456.480543929018,,10016.62187146675,,10246.06843169547,10471.612548970987,,10388.442796325839,,,9977.827383131476,,9742.41122555066,,9995.069280217005,9525.28951452031,10325.250550517354,,10097.793719632484,,10187.930955370808,,,,10437.9920791499,10219.90128249038,,,,,10346.095977143232,,,10106.716488374994,10404.308597189896,9858.692193797866,10092.027882000004,11120.664513552143,10658.973568612222,,10846.02246275742,10975.768193338692,
-4.52,10078.076788883189,,,9703.806518097485,,10861.453022947107,10108.963036685709,,10765.88091817925,10051.356685619427,10344.494461653809,,10458.964949349727,,10036.59411324452,,10248.512691179158,10480.583412210157,,10393.224069198754,,,9994.273938650524,,9743.38351440987,,9996.902044313434,9527.999714709134,10333.087981819122,,10111.523986798567,,10199.338232625325,,,,10443.780099829402,10221.387754144056,,,,,10352.025957890895,,,10110.773936993528,10405.936390099909,9852.966821457241,10092.027882000004,11134.430630326724,10665.395164594407,,10847.375776920539,10980.69456999145,
-4.51,10083.187460678604,,,9710.197378457104,,10858.861297616466,10107.488906019084,,10774.920072145282,10061.172967918725,10350.42444240147,,10461.449354770437,,10048.910905561897,,10250.820600104678,10489.554275449327,,10399.367748132247,,,10006.132438652228,,9746.761001861718,,9998.734808409863,9530.145870276776,10340.92541312089,,10118.64472154939,,10212.692255824513,,,,10450.513779349332,10222.932167559977,,,,,10357.955938638557,,,10114.532424572719,10405.584541124243,9845.511631842308,10092.027882000004,11148.84824945933,10671.816760576594,,10849.52337138338,10985.620946644207,
-4.5,10089.483685957895,,,9716.588238816723,,10862.417347774748,10108.395363625103,,10784.225706145875,10073.807279695777,10356.354423149132,,10463.933760191147,,10054.371125042522,,10252.904098601759,10495.960828828287,,10407.44755779896,,,10017.073438275296,,9746.433086531793,,10000.658612827086,9534.259844328593,10341.719147256565,,10137.243388908119,,10228.050138560091,,,,10459.864599068178,10224.94521292013,,,,,10362.94966686878,,,10113.899104749073,10405.232692148576,9842.194705559677,10092.435124874328,11161.763400019148,10678.242009803778,,10852.418333508873,10991.070517777945,
-4.49,10095.250305563928,,,9724.200923939368,,10865.973397933029,10110.34686672697,,10794.089172977297,10086.441591472827,10361.872065017986,,10471.215599238669,,10059.831344523147,,10254.987597098838,10501.87032109077,,10415.527367465675,,,10034.897365527582,,9748.53593379564,,10002.803580630722,9552.00584794425,10341.35986493782,,10145.76125073209,,10241.73224987699,,,,10468.179387150023,10226.99058329498,,,,,10366.939736444168,,,10115.91186375544,10407.90164937924,9840.0265616,10094.533636503853,11174.27864310351,10684.67092502202,,10855.313295634367,10997.018867055398,
-4.4799999999999995,10100.34176747454,,,9731.903868107735,,10869.52944809131,10112.05374664389,,10803.767266641758,10093.72208926648,10365.862134593373,,10482.264899057673,,10065.291564003772,,10260.649206711545,10507.779813353252,,10423.607177132388,,,10053.36723962725,,9755.49820326746,,10004.948548434357,9550.98971663207,10341.000901978603,,10149.529502226176,,10250.4212029149,,,,10474.507118233294,10229.017420756456,,,,,10370.929806019556,,,10114.691857823434,10415.186724347466,9840.0265616,10096.632148133378,11186.221712581117,10691.099840240258,,10861.528339614742,11002.967216332852,11426.984614387418
-4.47,10104.815430674327,,,9739.6068122761,,10861.828525119445,10113.76062656081,,10812.67752346857,10096.759132155643,10369.852204168761,,10493.314198876677,,10070.751783484397,,10269.942405931855,10513.689305615735,,10430.581099579282,,,10075.692294520639,,9760.491637500376,,10007.287828813429,9549.943321732604,10340.65281712693,,10150.499436025511,,10248.438453589879,,,,10479.389114412425,10231.042227302727,,,,,10374.919875594944,,,10114.9639809336,10422.47179931569,9839.64390070487,10098.730659762901,11201.174435292629,10693.523821424104,,10868.850193018023,11007.884855146842,11433.399316
-4.46,10109.011296308929,,,9748.57098510836,,10852.35397351706,10115.46750647773,,10821.88607531281,10099.796175044807,10373.842273744149,,10504.36349869568,,10076.212002965021,,10279.235605152166,10521.660950888054,,10436.740372754788,,,10098.65944369926,,9765.01498699491,,10009.815436745463,9548.386185001616,10340.304732275254,,10151.179925324595,,10260.689341473377,,,,10482.468350245379,10232.582993690025,,,,,10379.28184238161,,,10118.052576166214,10426.728450459123,9837.500049916465,10100.829171392426,11218.009831654674,10694.252128112264,,10876.172046421303,11012.793490781374,11440.02361088299
-4.45,10112.715424822745,,,9757.607845218898,,10842.879421914677,10118.491218103101,,10835.56597557896,10095.489049610422,10377.990559510556,,10514.087443556862,,10081.672222445646,,10285.961693804788,10530.966876822959,,10442.899645930294,,,10117.257661105139,,9769.847551278392,,10012.343044677495,9542.853496538355,10341.463218170737,,10155.49169901472,,10279.76715937379,,,,10487.131942956557,10234.224603157016,,,,,10384.063115254527,,,10124.456639725962,10428.113696327013,9834.194852168835,10102.927683021951,11233.925442430318,10694.980434800425,,10885.398550673222,11016.143551869898,11445.991573300093
-4.4399999999999995,10117.71856146444,,,9766.644705329436,,10837.010645784614,10121.122571018403,,10848.85383488926,10090.560425900934,10382.771832383472,,10522.427806306865,,10087.132808487137,,10291.588853735071,10540.272802757865,,10441.360689551124,,,10135.356020490672,,9774.140481472004,,10014.864042497364,9539.642028744614,10348.614248606737,,10156.477030828717,,10292.896091432376,,,,10493.410390339903,10237.301872773776,,,,,10388.844388127442,,,10128.020461622438,10429.498942194903,9828.322359581749,10105.026194651477,11245.62288088976,10700.658990566088,,10895.26745764965,11016.52869275701,11451.791796753801
