wind_speed_max,wind_speed_avg,month_name
10.066230000000001,7.381902,Jan
8.052984,6.263432,Jan
9.395148,7.381902,Jan
10.737312000000001,8.500372,Jan
17.448132,13.197946000000002,Jan
22.816788,17.224438000000003,Jan
21.698318,16.329662,Jan
21.698318,17.000744,Jan
20.356154,15.65858,Jan
19.01399,14.987498000000002,Jan
17.224438000000003,13.645334,Jan
18.566602000000003,14.092722,Jan
19.908766000000004,14.987498000000002,Jan
22.145706,15.882274,Jan
26.84328,18.342908,Jan
27.290668,19.461378,Jan
20.356154,15.434886000000002,Jan
24.382646,17.671826000000003,Jan
34.67257,22.816788,Jan
34.448876000000006,22.816788,Jan
35.79104,23.040482000000004,Jan
38.475368,25.277422000000005,Jan
42.054472000000004,27.738056000000004,Jan
44.515106,29.303914000000002,Jan
37.804286,25.501116000000003,Jan
34.448876000000006,23.48787,Jan
19.461378,14.763804,Jan
17.448132,11.632088000000001,Jan
24.830034,19.461378,Jan
18.566602000000003,15.65858,Jan
17.89552,14.763804,Jan
10.737312000000001,7.381902,Jan
21.25093,14.763804,Jan
20.579848,16.105968,Jan
15.65858,12.526864,Jan
17.000744,13.42164,Jan
15.882274,12.526864,Jan
18.566602000000003,14.092722,Jan
21.474624000000002,15.882274,Jan
17.448132,13.645334,Jan
16.329662,12.974252,Jan
18.566602000000003,14.316416000000002,Jan
18.790296,14.54011,Jan
14.316416000000002,11.408394,Jan
14.763804,11.632088000000001,Jan
14.987498000000002,11.855782,Jan
14.092722,11.408394,Jan
13.869028000000002,10.961006000000001,Jan
15.211192,11.855782,Jan
14.316416000000002,11.408394,Jan
14.54011,11.632088000000001,Jan
11.632088000000001,9.171454,Jan
11.184700000000001,8.500372,Jan
13.42164,10.289924,Jan
14.763804,11.632088000000001,Jan
16.105968,12.526864,Jan
18.342908,13.42164,Jan
15.211192,11.184700000000001,Jan
18.119214,12.526864,Jan
16.105968,11.632088000000001,Jan
23.711564,16.105968,Jan
26.172198,17.448132,Jan
26.172198,19.461378,Jan
29.08022,22.593094,Jan
29.08022,22.816788,Jan
22.593094,19.908766000000004,Jan
13.42164,11.855782,Jan
11.184700000000001,10.066230000000001,Jan
11.408394,10.066230000000001,Jan
9.618842,8.276678,Jan
10.513618000000001,8.500372,Jan
10.513618000000001,8.724066,Jan
6.71082,5.816044000000001,Jan
4.250186,3.802798,Jan
6.934514000000001,6.487126,Jan
15.882274,14.54011,Jan
6.487126,4.921268,Jan
8.94776,6.71082,Jan
10.513618000000001,8.500372,Jan
6.71082,4.921268,Jan
25.948504,19.461378,Jan
25.72481,19.237684,Jan
17.448132,12.750558000000002,Jan
6.71082,5.144962,Jan
6.934514000000001,5.592350000000001,Jan
14.54011,11.855782,Jan
6.934514000000001,5.592350000000001,Jan
2.6843280000000003,1.3421640000000001,Jan
13.645334,9.842536,Jan
4.697574,5.816044000000001,Jan
17.448132,16.777050000000003,Jan
21.474624000000002,19.01399,Jan
10.289924,7.82929,Jan
33.554100000000005,29.751302000000003,Jan
36.685816,34.896264,Jan
34.225182000000004,31.540854000000003,Jan
29.08022,26.395892000000003,Jan
31.31716,28.185444,Jan
32.43563,28.409138,Jan
34.001488,29.303914000000002,Jan
31.31716,27.066974000000002,Jan
30.646078,27.290668,Jan
29.527608,26.619586,Jan
25.277422000000005,23.264176000000003,Jan
24.158952000000003,23.040482000000004,Jan
18.790296,17.224438000000003,Jan
21.027236000000002,19.685072,Jan
24.830034,22.145706,Jan
41.383390000000006,39.14645,Jan
44.291412,38.922756,Jan
51.44962,46.752046,Jan
59.27891,54.80503,Jan
56.818276,50.778538000000005,Jan
49.43637400000001,38.922756,Jan
36.685816,28.856526000000002,Jan
31.31716,24.606340000000003,Jan
34.67257,24.830034,Jan
24.830034,19.237684,Jan
25.948504,19.685072,Jan
30.646078,23.48787,Jan
27.514362000000002,20.579848,Jan
29.751302000000003,23.040482000000004,Jan
34.001488,24.382646,Jan
30.198690000000003,22.369400000000002,Jan
31.31716,23.264176000000003,Jan
33.106712,24.158952000000003,Jan
36.462122,25.72481,Jan
34.448876000000006,24.606340000000003,Jan
25.948504,20.132460000000002,Jan
23.711564,19.237684,Jan
20.356154,16.553356,Jan
19.908766000000004,15.65858,Jan
18.790296,14.763804,Jan
19.685072,15.65858,Jan
19.237684,15.65858,Jan
19.461378,14.54011,Jan
19.685072,15.882274,Jan
22.816788,17.224438000000003,Jan
23.040482000000004,17.224438000000003,Jan
33.777794,23.040482000000004,Jan
23.711564,17.671826000000003,Jan
23.48787,18.342908,Jan
21.922012000000002,17.671826000000003,Jan
28.185444,21.027236000000002,Jan
29.303914000000002,21.698318,Jan
31.988242000000003,24.606340000000003,Jan
40.264920000000004,33.106712,Jan
36.685816,29.527608,Jan
32.659324,24.158952000000003,Jan
29.751302000000003,21.474624000000002,Jan
29.974996000000004,26.84328,Jan
28.409138,26.395892000000003,Jan
22.145706,17.448132,Jan
19.237684,13.869028000000002,Jan
14.54011,10.066230000000001,Jan
14.316416000000002,10.513618000000001,Jan
22.145706,18.790296,Jan
20.132460000000002,18.119214,Jan
18.790296,17.448132,Jan
18.342908,17.000744,Jan
20.132460000000002,19.685072,Jan
12.974252,12.750558000000002,Jan
3.35541,3.131716,Jan
6.263432,6.039738000000001,Jan
8.276678,8.052984,Jan
11.408394,10.961006000000001,Jan
9.618842,9.395148,Jan
12.750558000000002,12.526864,Jan
12.526864,12.303170000000001,Jan
8.500372,8.052984,Jan
8.724066,8.500372,Jan
14.54011,14.316416000000002,Jan
14.092722,13.869028000000002,Jan
